"Genero","Edad","Estrato","NivelEd","C1","C2","C3","C4","out"
1,38,3,3,0.0799460724303048,0.8824204453818,0.360337448049128,0.512722567448203,0
1,38,3,3,0.130658133300274,0.893624775138019,0.323429067675703,0.504819389130805,0
1,38,3,3,0.181370194170244,0.868975249674338,0.322374542522176,0.496916210813408,0
1,38,3,3,0.232082255040213,0.835362260405682,0.341697165188264,0.477607661434039,0
1,38,3,3,0.282794315910183,0.801749271137026,0.364764902921655,0.454556724674962,0
1,38,3,3,0.333506376780152,0.76813628186837,0.387832640655046,0.431505787915885,0
1,38,3,3,0.384218437650122,0.734523292599715,0.410900378388437,0.408454851156808,0
1,38,3,3,0.434930498520091,0.700910303331059,0.433968116121829,0.385403914397731,0
1,38,3,3,0.485642559390061,0.667297314062403,0.45703585385522,0.363120050828284,0
1,38,3,3,0.53635462026003,0.633684324793747,0.480103591588611,0.342044908648557,0
1,38,3,3,0.58706668113,0.600071335525092,0.500379939209726,0.323759123522028,0
1,38,3,3,0.643442686460771,0.560790273556231,0.507629799640221,0.318490337977096,0
1,38,3,3,0.705350916613721,0.515972954531357,0.514879660070715,0.313221552432164,0
1,38,3,3,0.76725914676667,0.476273184045655,0.517011971962037,0.307952766887232,0
1,38,3,3,0.82916737691962,0.439364803672229,0.516352893741083,0.302683981342301,0
1,38,3,3,0.869597557762936,0.402456423298803,0.515693815520129,0.297415195797369,0
1,38,3,3,0.880793727045916,0.365548042925377,0.51401122759134,0.293169174505277,0
1,38,3,3,0.891989896328896,0.328639662551951,0.506102288939892,0.295144969084626,0
1,38,3,3,0.873680866560258,0.321257986477266,0.498193350288444,0.297120763663975,0
1,38,3,3,0.840092358711317,0.338440543390609,0.481010793375101,0.299096558243325,0
1,38,3,3,0.806503850862376,0.361508281124,0.45794305564171,0.308433156157506,0
1,38,3,3,0.772915343013435,0.384576018857391,0.434875317908318,0.326873905564767,0
1,38,3,3,0.739326835164495,0.407643756590782,0.411807580174927,0.345314654972029,0
1,38,3,3,0.705738327315554,0.430711494324173,0.388739842441536,0.363755404379291,0
1,38,3,3,0.672149819466613,0.453779232057565,0.366137336393524,0.381731260944352,0
1,38,3,3,0.638561311617672,0.476846969790956,0.345046833322995,0.398196215772264,0
1,38,3,3,0.604972803768731,0.499356429501892,0.324514608274921,0.415474733074026,0
1,38,3,3,0.567432706761092,0.506606289932386,0.319241982507289,0.433915482481288,0
1,38,3,3,0.52264802962917,0.513856150362881,0.313969356739656,0.45235623188855,0
1,38,3,3,0.481861430940168,0.517105018299113,0.308696730972024,0.470796981295811,0
1,38,3,3,0.444979932125645,0.516445940078159,0.303424105204392,0.489237730703073,0
1,38,3,3,0.408098433311122,0.515786861857205,0.29815147943676,0.507678480110335,0
1,38,3,3,0.371216934496599,0.515127783636251,0.292878853669127,0.525375400970076,0
1,38,3,3,0.334335435682075,0.507218844984802,0.294856088331989,0.534789481024624,0
1,38,3,3,0.320109714710759,0.499309906333354,0.296833322994851,0.542034061148905,0
1,38,3,3,0.335141249941888,0.484267415172756,0.298810557657714,0.549278641273187,0
1,38,3,3,0.358192186700965,0.461199677439365,0.305633955709944,0.551680587624553,0
1,38,3,3,0.381243123460042,0.438131939705974,0.324088145896657,0.542460212920922,0
1,38,3,3,0.40429406021912,0.415064201972582,0.34254233608337,0.533239838217291,0
1,38,3,3,0.427344996978197,0.391996464239191,0.360996526270082,0.530744913297485,0
1,38,3,3,0.450395933737274,0.369114819179952,0.379264623782644,0.530744913297485,0
1,38,3,3,0.473446870496351,0.348024316109423,0.395741579306495,0.530744913297485,0
1,38,3,3,0.496497807255428,0.326933813038893,0.412730289684263,0.530233531171065,0
1,38,3,3,0.505416001611628,0.319986353203896,0.431184479870976,0.528257736591716,0
1,38,3,3,0.51266058173591,0.314713727436263,0.449638670057689,0.526281942012366,0
1,38,3,3,0.517115804806992,0.309441101668631,0.468092860244402,0.523849002804853,0
1,38,3,3,0.516457206613876,0.304168475900999,0.486547050431115,0.521214610032388,0
1,38,3,3,0.515798608420759,0.298895850133366,0.505001240617828,0.518580217259922,0
1,38,3,3,0.515140010227643,0.293623224365734,0.52301346070343,0.516387472687546,0
1,38,3,3,0.508259596163084,0.294576949320762,0.533845605111345,0.526653856286126,0
1,38,3,3,0.500356417845687,0.296554183983624,0.54109546554184,0.555632176783251,0
1,38,3,3,0.48764159861152,0.298531418646486,0.548345325972334,0.584610497280377,0
1,38,3,3,0.464590661852443,0.303028658271819,0.553075181440357,0.613588817777502,0
1,38,3,3,0.441539725093366,0.321482848458532,0.543848086347001,0.642567138274628,0
1,38,3,3,0.418488788334289,0.339937038645245,0.534620991253644,0.671545458771753,0
1,38,3,3,0.395437851575212,0.358391228831958,0.530713045096458,0.695650152639817,0
1,38,3,3,0.372386914816135,0.376845419018671,0.530713045096458,0.717383893012661,0
1,38,3,3,0.351218794067967,0.393415420879598,0.530713045096458,0.739117633385505,0
1,38,3,3,0.33014365188824,0.410124992246139,0.530480429253768,0.760851373758349,0
1,38,3,3,0.320783809331949,0.428579182432852,0.528503194590906,0.782585114131193,0
1,38,3,3,0.315515023787017,0.447033372619565,0.526525959928044,0.804318854504037,0
1,38,3,3,0.310246238242085,0.465487562806278,0.524192047639725,0.826409012722567,0
1,38,3,3,0.304977452697153,0.483941752992991,0.521555734755908,0.848801351288528,0
